, sample_no, plate_id, Eta.V_ave, Sn.PM.Loading, Fe.PM.Loading, Co.PM.Loading, Ta.PM.Loading, Mn.PM.Loading, Cu.PM.Loading
0, 2, 3860, 0.408761, 0.1, 0.2, 0.6, 0.1, 0, 0
1, 3, 3860, 0.416087, 0, 0.3, 0.5, 0, 0.2, 0
2, 4, 3860, 0.461742, 0.2, 0, 0.4, 0.3, 0, 0.1
3, 5, 3860, 0.475109, 0.1, 0, 0.4, 0, 0.1, 0.4
4, 6, 3860, 0.594522, 0.2, 0.1, 0, 0.5, 0, 0.2
5, 7, 3860, 0.541761, 0, 0.1, 0, 0.2, 0.6, 0.1
6, 8, 3860, 0.454373, 0.4, 0, 0.2, 0, 0.1, 0.3
7, 9, 3860, 0.506097, 0, 0, 0.1, 0.1, 0.1, 0.7
8, 10, 3860, 0.553537, 0.2, 0.1, 0, 0.6, 0.1, 0
9, 11, 3860, 0.475121, 0.4, 0, 0.2, 0.1, 0, 0.3
10, 12, 3860, 0.499461, 0, 0.6, 0, 0.1, 0.3, 0
11, 13, 3860, 0.440917, 0.3, 0.4, 0.1, 0.2, 0, 0
12, 14, 3860, 0.430871, 0.1, 0.3, 0.2, 0, 0, 0.4
13, 15, 3860, 0.513727, 0.1, 0.1, 0, 0.3, 0.5, 0
14, 16, 3860, 0.408453, 0, 0, 0.2, 0, 0.7, 0.1
15, 17, 3860, 0.433877, 0.1, 0.6, 0.2, 0.1, 0, 0
16, 18, 3860, 0.435171, 0, 0.3, 0.4, 0, 0.2, 0.1
17, 19, 3860, 0.468413, 0.2, 0, 0.1, 0.1, 0, 0.6
18, 20, 3860, 0.437472, 0.4, 0.2, 0.2, 0.2, 0, 0
19, 21, 3860, 0.446372, 0.4, 0.2, 0.2, 0, 0.2, 0
20, 22, 3860, 0.471935, 0.2, 0.8, 0, 0, 0, 0
21, 23, 3860, 0.537006, 0.2, 0, 0, 0, 0.6, 0.2
22, 24, 3860, 0.565668, 0, 0.2, 0, 0.4, 0.2, 0.2
23, 25, 3860, 0.46572, 0, 0, 0.4, 0.2, 0.2, 0.2
24, 26, 3860, 0.454706, 0, 0, 0.8, 0, 0.2, 0
25, 27, 3860, 0.412197, 0.2, 0.6, 0.2, 0, 0, 0
26, 28, 3860, 0.44299, 0, 0, 0.6, 0.2, 0.2, 0
27, 29, 3860, 0.419948, 0, 0.2, 0.6, 0, 0, 0.2
28, 30, 3860, 0.608378, 1, 0, 0, 0, 0, 0
29, 31, 3860, 0.42529, 0.2, 0.2, 0.4, 0.2, 0, 0
30, 32, 3860, 0.477535, 0, 0, 0.2, 0.2, 0.2, 0.4
31, 33, 3860, 0.415147, 0, 0.6, 0.2, 0, 0.2, 0
