, sample_no, plate_id, Eta.V_ave, Sn.PM.Loading, Sb.PM.Loading, Co.PM.Loading, Ca.PM.Loading, Ni.PM.Loading, Mn.PM.Loading
0, 2, 4098, 0.454321, 0.1, 0.2, 0.6, 0.1, 0, 0
1, 3, 4098, 0.454306, 0, 0.3, 0.5, 0, 0.2, 0
2, 4, 4098, 0.452732, 0.2, 0, 0.4, 0.3, 0, 0.1
3, 5, 4098, 0.460305, 0.1, 0, 0.4, 0, 0.1, 0.4
4, 6, 4098, 0.556269, 0.2, 0.1, 0, 0.5, 0, 0.2
5, 7, 4098, 0.461232, 0, 0.1, 0, 0.2, 0.6, 0.1
6, 8, 4098, 0.455355, 0.4, 0, 0.2, 0, 0.1, 0.3
7, 9, 4098, 0.485155, 0, 0, 0.1, 0.1, 0.1, 0.7
8, 10, 4098, 0.502244, 0.2, 0.1, 0, 0.6, 0.1, 0
9, 11, 4098, 0.470321, 0.4, 0, 0.2, 0.1, 0, 0.3
10, 12, 4098, 0.55232, 0, 0.6, 0, 0.1, 0.3, 0
11, 13, 4098, 0.555584, 0.3, 0.4, 0.1, 0.2, 0, 0
12, 14, 4098, 0.483977, 0.1, 0.3, 0.2, 0, 0, 0.4
13, 15, 4098, 0.4803, 0.1, 0.1, 0, 0.3, 0.5, 0
14, 16, 4098, 0.439633, 0, 0, 0.2, 0, 0.7, 0.1
15, 17, 4098, 0.48132, 0.1, 0.6, 0.2, 0.1, 0, 0
16, 18, 4098, 0.446313, 0, 0.3, 0.4, 0, 0.2, 0.1
17, 19, 4098, 0.48731, 0.2, 0, 0.1, 0.1, 0, 0.6
18, 20, 4098, 0.506817, 0.4, 0.2, 0.2, 0.2, 0, 0
19, 21, 4098, 0.49249, 0.4, 0.2, 0.2, 0, 0.2, 0
20, 22, 4098, 0.576955, 0.2, 0.8, 0, 0, 0, 0
21, 23, 4098, 0.429837, 0.2, 0, 0, 0, 0.6, 0.2
22, 24, 4098, 0.517252, 0, 0.2, 0, 0.4, 0.2, 0.2
23, 25, 4098, 0.47572, 0, 0, 0.4, 0.2, 0.2, 0.2
24, 26, 4098, 0.450162, 0, 0, 0.8, 0, 0.2, 0
25, 27, 4098, 0.491521, 0.2, 0.6, 0.2, 0, 0, 0
26, 28, 4098, 0.456527, 0, 0, 0.6, 0.2, 0.2, 0
27, 29, 4098, 0.468137, 0, 0.2, 0.6, 0, 0, 0.2
28, 30, 4098, 0.512696, 1, 0, 0, 0, 0, 0
29, 31, 4098, 0.477539, 0.2, 0.2, 0.4, 0.2, 0, 0
30, 32, 4098, 0.479011, 0, 0, 0.2, 0.2, 0.2, 0.4
31, 33, 4098, 0.505237, 0, 0.6, 0.2, 0, 0.2, 0
32, 34, 4098, 0.436851, 0, 0.2, 0.2, 0, 0.6, 0
33, 35, 4098, 0.449692, 0.2, 0, 0, 0, 0.8, 0
34, 36, 4098, 0.503037, 0.2, 0.4, 0.2, 0.2, 0, 0
35, 37, 4098, 0.474233, 0, 0, 0, 0.2, 0.6, 0.2
36, 38, 4098, 0.506442, 0.4, 0.2, 0, 0, 0.2, 0.2
37, 39, 4098, 0.507421, 0.2, 0.4, 0.2, 0, 0.2, 0
38, 40, 4098, 0.545041, 0.8, 0, 0, 0, 0.2, 0
39, 41, 4098, 0.482943, 0, 0, 0.2, 0, 0, 0.8
40, 42, 4098, 0.493927, 0, 0.2, 0.2, 0.2, 0, 0.4
41, 43, 4098, 0.446378, 0, 0.2, 0, 0, 0.6, 0.2
42, 44, 4098, 0.453798, 0, 0.2, 0, 0, 0.8, 0
43, 45, 4098, 0.485335, 0, 0.2, 0.6, 0.2, 0, 0
44, 46, 4098, 0.443996, 0, 0, 0.1, 0.4, 0.5, 0
45, 47, 4098, 0.535336, 0.3, 0.1, 0, 0, 0, 0.6
46, 48, 4098, 0.461628, 0.1, 0.1, 0, 0, 0.4, 0.4
47, 49, 4098, 0.442699, 0.4, 0.1, 0.5, 0, 0, 0
48, 50, 4098, 0.429814, 0, 0, 0.3, 0.1, 0.5, 0.1
49, 51, 4098, 0.436403, 0.1, 0, 0, 0.2, 0.7, 0
50, 52, 4098, 0.534826, 0.2, 0.4, 0, 0, 0.3, 0.1
51, 53, 4098, 0.417674, 0, 0.1, 0.2, 0, 0.6, 0.1
52, 54, 4098, 0.47239, 0.3, 0.3, 0.3, 0.1, 0, 0
53, 55, 4098, 0.523058, 0, 0.4, 0.1, 0.4, 0.1, 0
54, 56, 4098, 0.516613, 0.2, 0.2, 0.1, 0.5, 0, 0
55, 57, 4098, 0.551265, 0.4, 0.4, 0.1, 0.1, 0, 0
56, 58, 4098, 0.656165, 0, 0.3, 0, 0.7, 0, 0
57, 59, 4098, 0.461714, 0.2, 0, 0.1, 0.6, 0, 0.1
58, 60, 4098, 0.466842, 0.3, 0.3, 0.4, 0, 0, 0
59, 61, 4098, 0.483749, 0, 0.2, 0, 0.1, 0.4, 0.3
60, 62, 4098, 0.470098, 0.1, 0.4, 0.3, 0, 0.2, 0
61, 63, 4098, 0.509296, 0.5, 0, 0, 0.1, 0.4, 0
62, 64, 4098, 0.424216, 0.1, 0, 0.1, 0.4, 0.4, 0
63, 66, 4098, 0.466211, 0.1, 0.3, 0.5, 0.1, 0, 0
64, 67, 4098, 0.479327, 0.6, 0.1, 0.1, 0, 0.2, 0
65, 68, 4098, 0.455426, 0, 0.3, 0, 0.1, 0.6, 0
66, 69, 4098, 0.493222, 0.4, 0.1, 0, 0.1, 0.4, 0
67, 70, 4098, 0.48388, 0.6, 0, 0.1, 0, 0.3, 0
68, 71, 4098, 0.514104, 0.3, 0.5, 0, 0.1, 0.1, 0
69, 72, 4098, 0.460065, 0.4, 0.2, 0.4, 0, 0, 0
70, 73, 4098, 0.453752, 0.5, 0.1, 0.3, 0, 0.1, 0
71, 74, 4098, 0.467789, 0.1, 0.1, 0.3, 0, 0, 0.5
72, 75, 4098, 0.440536, 0, 0.2, 0.1, 0.1, 0.6, 0
73, 76, 4098, 0.467811, 0.1, 0.2, 0.7, 0, 0, 0
74, 77, 4098, 0.534232, 0.5, 0.2, 0, 0, 0.2, 0.1
75, 78, 4098, 0.489513, 0.1, 0, 0.1, 0.2, 0, 0.6
76, 79, 4098, 0.453615, 0.2, 0.1, 0, 0, 0.6, 0.1
77, 80, 4098, 0.511956, 0, 0.7, 0.1, 0.1, 0.1, 0
78, 81, 4098, 0.45849, 0, 0, 0.4, 0.3, 0.2, 0.1
79, 82, 4098, 0.460134, 0.1, 0.1, 0.2, 0.6, 0, 0
80, 83, 4098, 0.449731, 0.3, 0.1, 0.4, 0.2, 0, 0
81, 84, 4098, 0.477792, 0.8, 0, 0.2, 0, 0, 0
82, 85, 4098, 0.510041, 0.2, 0.4, 0, 0.2, 0, 0.2
83, 86, 4098, 0.484982, 0.4, 0.2, 0.2, 0, 0, 0.2
84, 87, 4098, 0.468601, 0, 0, 0, 0.8, 0.2, 0
85, 88, 4098, 0.534403, 0.4, 0, 0, 0.2, 0.2, 0.2
86, 89, 4098, 0.542379, 0.2, 0.2, 0, 0.4, 0, 0.2
87, 90, 4098, 0.494222, 0, 0.2, 0.2, 0.4, 0, 0.2
88, 91, 4098, 0.541139, 0.2, 0, 0, 0.4, 0.2, 0.2
89, 92, 4098, 0.556112, 0.6, 0.2, 0, 0.2, 0, 0
90, 93, 4098, 0.521484, 0.6, 0.2, 0, 0, 0.2, 0
91, 94, 4098, 0.466981, 0, 0, 0.2, 0.2, 0.4, 0.2
92, 95, 4098, 0.473581, 0, 0, 0.2, 0, 0.2, 0.6
93, 96, 4098, 0.541576, 0, 0.2, 0, 0.6, 0, 0.2
94, 97, 4098, 0.498059, 0.2, 0.2, 0, 0, 0.6, 0
95, 98, 4098, 0.571172, 0, 0.2, 0, 0.6, 0.2, 0
96, 99, 4098, 0.500909, 0.2, 0.6, 0, 0, 0.2, 0
97, 100, 4098, 0.493357, 0.8, 0, 0, 0, 0, 0.2
98, 101, 4098, 0.425302, 0.4, 0, 0.2, 0.2, 0.2, 0
99, 102, 4098, 0.434532, 0.2, 0, 0.6, 0.2, 0, 0
100, 103, 4098, 0.422354, 0.4, 0, 0.2, 0, 0.2, 0.2
101, 104, 4098, 0.44792, 0, 0, 0, 0.2, 0.8, 0
102, 105, 4098, 0.456048, 0, 0, 0, 0, 0.8, 0.2
103, 106, 4098, 0.449438, 0, 0.2, 0.4, 0, 0.2, 0.2
104, 107, 4098, 0.44767, 0.2, 0.2, 0.2, 0, 0, 0.4
