D,B,A,smiles,HOMO(eV),LUMO(eV),IP(eV),EA(eV),excE(eV),exc_osc(a.u.)
5,6,9,Fc1csc(-c2cccc(-c3nncs3)c2)c1 ,-8.475000,-0.026000,6.179000,2.245000,4.870000,0.518000
4,6,9,c1cc(-c2cccs2)cc(-c2nncs2)c1  ,-8.390000,0.013000,6.061000,2.219000,4.591000,0.039000
5,6,3,O=C(O)c1csc(-c2cccc(-c3cc(F)cs3)c2)c1,-8.379000,0.244000,6.148000,1.920000,4.864000,0.506000
5,6,6,CN1C(=O)c2csc(-c3cccc(-c4cc(F)cs4)c3)c2C1=O,-8.377000,-0.325000,6.125000,2.603000,4.378000,0.481000
5,6,1,Fc1csc(-c2cccc(-c3c(F)c(F)cc4nsnc34)c2)c1,-8.371000,-0.801000,6.124000,2.880000,4.137000,0.651000
5,6,4,Fc1csc(-c2cccc(-c3c(F)c(F)cc4nccnc34)c2)c1,-8.343000,-0.272000,6.068000,2.302000,4.439000,0.252000
5,6,2,Fc1csc(-c2cccc(-c3cccc4nsnc34)c2)c1,-8.342000,-0.696000,6.087000,2.877000,4.002000,0.321000
5,8,9,Fc1csc(-c2ccc3oc(-c4nncs4)cc3c2)c1,-8.316000,-0.244000,6.035000,2.431000,4.396000,0.866000
5,7,9,Fc1csc(-c2ccc(-c3nncs3)cc2)c1 ,-8.313000,-0.307000,6.137000,2.399000,4.329000,1.087000
4,6,6,CN1C(=O)c2csc(-c3cccc(-c4cccs4)c3)c2C1=O,-8.300000,-0.282000,6.008000,2.583000,4.389000,0.442000
5,6,8,Fc1csc(-c2cccc(-c3cc4c(ccc5nsnc54)c4nsnc34)c2)c1,-8.298000,-1.207000,6.103000,3.125000,3.647000,0.535000
4,6,3,O=C(O)c1csc(-c2cccc(-c3cccs3)c2)c1,-8.286000,0.271000,6.021000,1.955000,4.887000,0.322000
4,6,1,Fc1cc2nsnc2c(-c2cccc(-c3cccs3)c2)c1F,-8.275000,-0.792000,5.994000,2.875000,4.134000,0.647000
4,6,4,Fc1cc2nccnc2c(-c2cccc(-c3cccs3)c2)c1F,-8.274000,-0.264000,5.946000,2.517000,4.443000,0.248000
