BAMDIFIROXTEEM-UHFFFAOYSA-N,BDAGIHXWWSANSR-UHFFFAOYSA-N,GGYGJCFIYJVWIP-UHFFFAOYSA-N,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,JMXLWMIFDJCGBV-UHFFFAOYSA-N,KFXBDBPOGBBVMC-UHFFFAOYSA-N,LLWRXQXPJMPHLR-UHFFFAOYSA-N,NXRUEVJQMBGVAT-UHFFFAOYSA-N,ODZKCFHAXXFIQC-UHFFFAOYSA-N,PBGZCCFVBVEIAS-UHFFFAOYSA-N,QNNYEDWTOZODAS-UHFFFAOYSA-N,QRFXELVDJSDWHX-UHFFFAOYSA-N,QTWVKKIQSUTRSU-UHFFFAOYSA-N,QZCGFUVVXNFSLE-UHFFFAOYSA-N,RQQRAHKHDFPBMC-UHFFFAOYSA-L,RYYSZNVPBLKLRS-UHFFFAOYSA-N,SQXJHWOXNLTOOO-UHFFFAOYSA-N,UPHCENSIMPJEIS-UHFFFAOYSA-N,UVLZLKCGKYLKOR-UHFFFAOYSA-N,VAWHFUNJDMQUSB-UHFFFAOYSA-N,XFYICZOIWSBQSK-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,YEJRWHAVMIAJKC-UHFFFAOYSA-N,YYMLRIWBISZOMT-UHFFFAOYSA-N,ZEVRFFCPALTVDN-UHFFFAOYSA-N,ZMXDDKWLCZADIW-UHFFFAOYSA-N
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9138166895
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5048205366,0.0,0.0,6.4569083447
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2090874884,3.0777786427,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9506590359,0.0,1.9474984978,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0096410733,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4938956715,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9854750874,0.0,8.6413027459,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2659563401,0.0,0.0,0.0,0.0,0.0,9.5960071848
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.313300827,0.0,0.0,0.0,0.0,0.0,9.5266854658
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.338511782,0.0,0.0,0.0,0.0,0.0,9.4897716274
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3597079214,0.0,0.0,0.0,0.0,0.0,9.4587362754
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3612511556,0.0,0.0,0.0,0.0,0.0,9.4564766744
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3615071084,0.0,0.0,0.0,0.0,0.0,9.4561019088
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3619683309,0.0,0.0,0.0,0.0,0.0,9.4554265876
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3632374945,0.0,0.0,0.0,0.0,0.0,9.4535682803
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3633515851,0.0,0.0,0.0,0.0,0.0,9.4534012291
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.819716667,0.0,0.0,0.0,0.0,0.0,2.2136e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.684225621,0.0,0.0,0.0,0.0,0.0,0.0,9.0425325181
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7621561261,0.0,0.0,0.0,0.0,0.0,0.0,8.8634050146
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7928286353,0.0,0.0,0.0,0.0,0.0,0.0,8.7929025845
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2400514971,0.0,0.0,0.0,0.0,10.544528204,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1099384609,0.0,0.0,0.0,0.0,0.0,8.7176540408,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3154723091,0.0,0.0,0.0,0.0,0.0,8.2995619366,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6365856499,0.0,0.0,0.0,0.0,0.0,7.6463607553,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4912501577,0.0,0.0,0.0,0.6711129213,0.0,0.0,0.0,5.4886540306,0.0,0.0,5.4482265593
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4930035082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9107945898,0.0,0.7767201373,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4970703313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4641063209,0.0,0.7664631503,5.4238596594
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.510908247,0.0,0.0,0.761814368,0.0,0.0,0.0,0.0,5.4988923203,0.0,0.0,5.4583894374
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5112878014,0.0,0.0,0.7643620561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9113847753
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5205435958,0.7390892398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9265778006
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5279332816,0.0,0.0,0.0,0.0,0.0,0.7721472879,0.0,11.6493048658,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.530263597,0.0,0.0,0.7647720618,0.0,0.0,0.0,0.0,10.9730600137,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5377125468,0.0,0.0,0.0,0.0,0.0,0.7715589278,0.0,0.0,0.0,0.0,11.5546890882
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5534626423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8031442801,10.7173305526
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556984567,0.0,0.0,0.0,0.0,0.0,0.7588025728,0.0,5.8178231339,0.0,0.0,5.7749711203
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6065637086,0.0,0.0,0.0,0.7197344166,0.0,0.0,0.0,0.0,0.0,0.0,10.6732479393
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7858347116,0.0,0.0,0.0,0.0,0.8434700162,0.0,0.0,0.0,0.0,0.0,10.9193308372
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8672124634,0.0,0.0,0.0,1.0552203811,0.0,0.0,0.0,0.0,0.0,0.0,9.6502083992
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.908958291,0.0,0.0,0.0,1.0875763099,0.0,0.0,0.0,0.0,0.0,0.0,9.5354908308
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9472295456,0.0,0.0,0.0,1.1309853449,0.0,0.0,0.0,0.0,0.0,0.0,9.3987251354
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0309275757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9370688699,0.0,0.9926230611,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0550719565,0.0,0.0,0.0,0.0,0.0,2.204934774,0.0,9.5656379502,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.249386972,0.0,0.9345617668,0.0,0.0,0.0,0.0,0.0,9.8921341357,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3620890559,0.0,0.0,0.6828884878,0.0,0.0,0.0,0.0,10.3259452385,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5013905888,0.0,0.0,0.0,0.0,3.0034130716,0.0,0.0,0.0,0.0,0.0,7.0651890901
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6042709831,0.0,1.6058236814,0.0,0.0,0.0,0.0,0.0,8.1811424712,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6245220292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.633208199,1.7917952412,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7254393576,0.0,1.7156633129,0.0,0.0,0.0,0.0,0.0,7.8397358478,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2068514764,0.0,0.0,0.0,0.0,2.7693694737,0.0,0.0,0.0,0.0,0.0,6.7260750311
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2363320764,0.0,0.0,0.0,0.0,2.8107613769,0.0,0.0,0.0,0.0,0.0,6.6369772306
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.259243542,0.0,0.0,0.0,0.0,2.8359048456,0.0,0.0,0.0,0.0,0.0,6.5780191718
