identifier,fingerprint,outcome,organic___0___inchikey,organic___0___inchi,organic___0___chemname,organic___0___molarity,inorganic___0___inchikey,inorganic___0___inchi,inorganic___0___chemname,inorganic___0___molarity,solvent___0___inchikey,solvent___0___inchi,solvent___0___chemname,solvent___0___molarity,acid___0___inchikey,acid___0___inchi,acid___0___chemname,acid___0___molarity,alpha_vial_volume,beta_vial_volume,reaction_time,reaction_temperature,antisolvent_identity
2019-05-30T20_58_22.535516+00_00_LBL_A1,1%1%1%1,4,XFYICZOIWSBQSK-UHFFFAOYSA-N,"InChI=1S/C2H7N.HI/c1-2-3;/h2-3H2,1H3;1H",Ethylammonium Iodide,1.4148057318267522,RQQRAHKHDFPBMC-UHFFFAOYSA-L,InChI=1S/2HI.Pb/h2*1H;/q;;+2/p-2,Lead Diiodide,0.6476518625530959,YEJRWHAVMIAJKC-UHFFFAOYSA-N,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,Gamma-Butyrolactone,7.82612293426468,BDAGIHXWWSANSR-UHFFFAOYSA-N,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",Formic Acid,6.116412373201425,0.00065,0.001,21600.0,85.0,YMWUJEATGCHHMB-UHFFFAOYSA-N
2019-05-30T20_58_22.535516+00_00_LBL_C1,1%1%1%1,4,XFYICZOIWSBQSK-UHFFFAOYSA-N,"InChI=1S/C2H7N.HI/c1-2-3;/h2-3H2,1H3;1H",Ethylammonium Iodide,1.715131475026473,RQQRAHKHDFPBMC-UHFFFAOYSA-L,InChI=1S/2HI.Pb/h2*1H;/q;;+2/p-2,Lead Diiodide,0.7823211566296019,YEJRWHAVMIAJKC-UHFFFAOYSA-N,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,Gamma-Butyrolactone,7.427793564156183,BDAGIHXWWSANSR-UHFFFAOYSA-N,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",Formic Acid,5.990170631752477,0.0006460000000000001,0.001,21600.0,85.0,YMWUJEATGCHHMB-UHFFFAOYSA-N
2019-05-30T20_58_22.535516+00_00_LBL_E1,1%1%1%1,1,XFYICZOIWSBQSK-UHFFFAOYSA-N,"InChI=1S/C2H7N.HI/c1-2-3;/h2-3H2,1H3;1H",Ethylammonium Iodide,1.7576500086558342,RQQRAHKHDFPBMC-UHFFFAOYSA-L,InChI=1S/2HI.Pb/h2*1H;/q;;+2/p-2,Lead Diiodide,0.4240642912138791,YEJRWHAVMIAJKC-UHFFFAOYSA-N,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,Gamma-Butyrolactone,8.118530134012289,BDAGIHXWWSANSR-UHFFFAOYSA-N,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",Formic Acid,5.19862273520764,0.000622,0.001,21600.0,85.0,YMWUJEATGCHHMB-UHFFFAOYSA-N
2019-05-30T20_58_22.535516+00_00_LBL_G1,1%1%1%1,4,XFYICZOIWSBQSK-UHFFFAOYSA-N,"InChI=1S/C2H7N.HI/c1-2-3;/h2-3H2,1H3;1H",Ethylammonium Iodide,1.1655077275783785,RQQRAHKHDFPBMC-UHFFFAOYSA-L,InChI=1S/2HI.Pb/h2*1H;/q;;+2/p-2,Lead Diiodide,0.3173793690405272,YEJRWHAVMIAJKC-UHFFFAOYSA-N,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,Gamma-Butyrolactone,7.227637369755611,BDAGIHXWWSANSR-UHFFFAOYSA-N,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",Formic Acid,8.547506722080037,0.000738,0.001,21600.0,85.0,YMWUJEATGCHHMB-UHFFFAOYSA-N
2019-05-30T20_58_22.535516+00_00_LBL_A3,1%1%1%1,4,XFYICZOIWSBQSK-UHFFFAOYSA-N,"InChI=1S/C2H7N.HI/c1-2-3;/h2-3H2,1H3;1H",Ethylammonium Iodide,1.5982921559129344,RQQRAHKHDFPBMC-UHFFFAOYSA-L,InChI=1S/2HI.Pb/h2*1H;/q;;+2/p-2,Lead Diiodide,0.6490511622302049,YEJRWHAVMIAJKC-UHFFFAOYSA-N,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,Gamma-Butyrolactone,6.588397596353773,BDAGIHXWWSANSR-UHFFFAOYSA-N,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",Formic Acid,8.225520088098465,0.000725,0.001,21600.0,85.0,YMWUJEATGCHHMB-UHFFFAOYSA-N
2019-05-30T20_58_22.535516+00_00_LBL_C3,1%1%1%1,4,XFYICZOIWSBQSK-UHFFFAOYSA-N,"InChI=1S/C2H7N.HI/c1-2-3;/h2-3H2,1H3;1H",Ethylammonium Iodide,1.7836435080903108,RQQRAHKHDFPBMC-UHFFFAOYSA-L,InChI=1S/2HI.Pb/h2*1H;/q;;+2/p-2,Lead Diiodide,0.4773291058553973,YEJRWHAVMIAJKC-UHFFFAOYSA-N,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,Gamma-Butyrolactone,6.552434664089679,BDAGIHXWWSANSR-UHFFFAOYSA-N,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",Formic Acid,8.225520088098465,0.000725,0.001,21600.0,85.0,YMWUJEATGCHHMB-UHFFFAOYSA-N
2019-05-30T20_58_22.535516+00_00_LBL_E3,1%1%1%1,4,XFYICZOIWSBQSK-UHFFFAOYSA-N,"InChI=1S/C2H7N.HI/c1-2-3;/h2-3H2,1H3;1H",Ethylammonium Iodide,1.5131603145127979,RQQRAHKHDFPBMC-UHFFFAOYSA-L,InChI=1S/2HI.Pb/h2*1H;/q;;+2/p-2,Lead Diiodide,0.6803573664104938,YEJRWHAVMIAJKC-UHFFFAOYSA-N,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,Gamma-Butyrolactone,8.325248068048682,BDAGIHXWWSANSR-UHFFFAOYSA-N,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",Formic Acid,4.815048038477717,0.000611,0.001,21600.0,85.0,YMWUJEATGCHHMB-UHFFFAOYSA-N
2019-05-30T20_58_22.535516+00_00_LBL_G3,1%1%1%1,1,XFYICZOIWSBQSK-UHFFFAOYSA-N,"InChI=1S/C2H7N.HI/c1-2-3;/h2-3H2,1H3;1H",Ethylammonium Iodide,2.393373785105114,RQQRAHKHDFPBMC-UHFFFAOYSA-L,InChI=1S/2HI.Pb/h2*1H;/q;;+2/p-2,Lead Diiodide,0.19451916602878527,YEJRWHAVMIAJKC-UHFFFAOYSA-N,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,Gamma-Butyrolactone,6.781448070211277,BDAGIHXWWSANSR-UHFFFAOYSA-N,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",Formic Acid,6.958396377378611,0.000678,0.001,21600.0,85.0,YMWUJEATGCHHMB-UHFFFAOYSA-N
2019-05-30T20_58_22.535516+00_00_LBL_A5,1%1%1%1,4,XFYICZOIWSBQSK-UHFFFAOYSA-N,"InChI=1S/C2H7N.HI/c1-2-3;/h2-3H2,1H3;1H",Ethylammonium Iodide,0.9604236688245283,RQQRAHKHDFPBMC-UHFFFAOYSA-L,InChI=1S/2HI.Pb/h2*1H;/q;;+2/p-2,Lead Diiodide,0.3672898343331908,YEJRWHAVMIAJKC-UHFFFAOYSA-N,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,Gamma-Butyrolactone,7.332746704285276,BDAGIHXWWSANSR-UHFFFAOYSA-N,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",Formic Acid,8.692320809943958,0.0007440000000000001,0.001,21600.0,85.0,YMWUJEATGCHHMB-UHFFFAOYSA-N
2019-05-30T20_58_22.535516+00_00_LBL_C5,1%1%1%1,1,XFYICZOIWSBQSK-UHFFFAOYSA-N,"InChI=1S/C2H7N.HI/c1-2-3;/h2-3H2,1H3;1H",Ethylammonium Iodide,1.7756172311203675,RQQRAHKHDFPBMC-UHFFFAOYSA-L,InChI=1S/2HI.Pb/h2*1H;/q;;+2/p-2,Lead Diiodide,0.007419634012237131,YEJRWHAVMIAJKC-UHFFFAOYSA-N,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,Gamma-Butyrolactone,7.195418124090429,BDAGIHXWWSANSR-UHFFFAOYSA-N,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",Formic Acid,7.865597346315755,0.0007109999999999999,0.001,21600.0,85.0,YMWUJEATGCHHMB-UHFFFAOYSA-N
